Territory,Topic,Category,Location,Impact,Reference,Units,Value
Afghanistan,Water Pollution,Benzidine,Seawater,Health,Water Pollution_Benzidine_Seawater_Health,$/kg,0.06
Afghanistan,Water Pollution,Benzidine,Unspecified,Health,Water Pollution_Benzidine_Unspecified_Health,$/kg,"55,747.20"
Afghanistan,Water Pollution,benzo[a]pyrene,Freshwaster,Health,Water Pollution_benzo[a]pyrene_Freshwaster_Health,$/kg,"1,350.68"
Afghanistan,Water Pollution,benzo[a]pyrene,Seawater,Health,Water Pollution_benzo[a]pyrene_Seawater_Health,$/kg,54.28
Afghanistan,Water Pollution,benzo[a]pyrene,Unspecified,Health,Water Pollution_benzo[a]pyrene_Unspecified_Health,$/kg,"1,350.68"
Afghanistan,Water Pollution,Bezafibrate,Freshwaster,Health,Water Pollution_Bezafibrate_Freshwaster_Health,$/kg,2.35
Afghanistan,Water Pollution,Bezafibrate,Seawater,Health,Water Pollution_Bezafibrate_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Bezafibrate,Unspecified,Health,Water Pollution_Bezafibrate_Unspecified_Health,$/kg,2.35
Afghanistan,Water Pollution,butyl benzyl phthalate ,Freshwaster,Health,Water Pollution_butyl benzyl phthalate _Freshwaster_Health,$/kg,0.40
Afghanistan,Water Pollution,butyl benzyl phthalate ,Seawater,Health,Water Pollution_butyl benzyl phthalate _Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,butyl benzyl phthalate,Unspecified,Health,Water Pollution_butyl benzyl phthalate_Unspecified_Health,$/kg,0.40
Afghanistan,Water Pollution,Carbamazepine,Freshwaster,Health,Water Pollution_Carbamazepine_Freshwaster_Health,$/kg,2.78
Afghanistan,Water Pollution,Carbamazepine,Seawater,Health,Water Pollution_Carbamazepine_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Carbamazepine,Unspecified,Health,Water Pollution_Carbamazepine_Unspecified_Health,$/kg,2.78
Afghanistan,Water Pollution,chlorobenzene,Freshwaster,Health,Water Pollution_chlorobenzene_Freshwaster_Health,$/kg,0.50
Afghanistan,Water Pollution,chlorobenzene,Seawater,Health,Water Pollution_chlorobenzene_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,chlorobenzene,Unspecified,Health,Water Pollution_chlorobenzene_Unspecified_Health,$/kg,0.50
Afghanistan,Water Pollution,Chloropyrifos,Freshwaster,Health,Water Pollution_Chloropyrifos_Freshwaster_Health,$/kg,34.05
Afghanistan,Water Pollution,Chloropyrifos,Seawater,Health,Water Pollution_Chloropyrifos_Seawater_Health,$/kg,0.20
Afghanistan,Water Pollution,Chloropyrifos,Unspecified,Health,Water Pollution_Chloropyrifos_Unspecified_Health,$/kg,34.05
Afghanistan,Water Pollution,Chlorothalonil,Freshwaster,Health,Water Pollution_Chlorothalonil_Freshwaster_Health,$/kg,2.22
Afghanistan,Water Pollution,Chlorothalonil,Seawater,Health,Water Pollution_Chlorothalonil_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Chlorothalonil,Unspecified,Health,Water Pollution_Chlorothalonil_Unspecified_Health,$/kg,2.22
Afghanistan,Water Pollution,CYANAZINE,Freshwaster,Health,Water Pollution_CYANAZINE_Freshwaster_Health,$/kg,119.48
Afghanistan,Water Pollution,CYANAZINE,Seawater,Health,Water Pollution_CYANAZINE_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,CYANAZINE,Unspecified,Health,Water Pollution_CYANAZINE_Unspecified_Health,$/kg,119.48
Afghanistan,Water Pollution,CYPERMETHRIN,Freshwaster,Health,Water Pollution_CYPERMETHRIN_Freshwaster_Health,$/kg,0.71
Afghanistan,Water Pollution,CYPERMETHRIN,Seawater,Health,Water Pollution_CYPERMETHRIN_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,CYPERMETHRIN,Unspecified,Health,Water Pollution_CYPERMETHRIN_Unspecified_Health,$/kg,0.71
Afghanistan,Water Pollution,DEF,Freshwaster,Health,Water Pollution_DEF_Freshwaster_Health,$/kg,65.89
Afghanistan,Water Pollution,DEF,Seawater,Health,Water Pollution_DEF_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,DEF,Unspecified,Health,Water Pollution_DEF_Unspecified_Health,$/kg,65.89
Afghanistan,Water Pollution,di-(2-ethylhexyl)-phthalate (DEHP),Freshwaster,Health,Water Pollution_di-(2-ethylhexyl)-phthalate (DEHP)_Freshwaster_Health,$/kg,0.55
Afghanistan,Water Pollution,di-(2-ethylhexyl)-phthalate (DEHP),Seawater,Health,Water Pollution_di-(2-ethylhexyl)-phthalate (DEHP)_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,di-(2-ethylhexyl)-phthalate (DEHP),Unspecified,Health,Water Pollution_di-(2-ethylhexyl)-phthalate (DEHP)_Unspecified_Health,$/kg,0.55
Afghanistan,Water Pollution,Diazinon,Freshwaster,Health,Water Pollution_Diazinon_Freshwaster_Health,$/kg,136.69
Afghanistan,Water Pollution,Diazinon,Seawater,Health,Water Pollution_Diazinon_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Diazinon,Unspecified,Health,Water Pollution_Diazinon_Unspecified_Health,$/kg,136.69
Afghanistan,Water Pollution,"Dibenz(a,h)anthracene",Freshwaster,Health,"Water Pollution_Dibenz(a,h)anthracene_Freshwaster_Health",$/kg,949.55
Afghanistan,Water Pollution,"Dibenz(a,h)anthracene",Seawater,Health,"Water Pollution_Dibenz(a,h)anthracene_Seawater_Health",$/kg,160.04
Afghanistan,Water Pollution,"Dibenz(a,h)anthracene",Unspecified,Health,"Water Pollution_Dibenz(a,h)anthracene_Unspecified_Health",$/kg,949.55
Afghanistan,Water Pollution,Dicamba,Freshwaster,Health,Water Pollution_Dicamba_Freshwaster_Health,$/kg,2.84
Afghanistan,Water Pollution,Dicamba,Seawater,Health,Water Pollution_Dicamba_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Dicamba,Unspecified,Health,Water Pollution_Dicamba_Unspecified_Health,$/kg,2.84
Afghanistan,Water Pollution,dichloromethane/methylenechloride (CH2Cl2) ,Freshwaster,Health,Water Pollution_dichloromethane/methylenechloride (CH2Cl2) _Freshwaster_Health,$/kg,0.70
Afghanistan,Water Pollution,dichloromethane/methylenechloride (CH2Cl2) ,Seawater,Health,Water Pollution_dichloromethane/methylenechloride (CH2Cl2) _Seawater_Health,$/kg,0.01
Afghanistan,Water Pollution,dichloromethane/methylenechloride (CH2Cl2) ,Unspecified,Health,Water Pollution_dichloromethane/methylenechloride (CH2Cl2) _Unspecified_Health,$/kg,0.70
Afghanistan,Water Pollution,Diclofenac,Freshwaster,Health,Water Pollution_Diclofenac_Freshwaster_Health,$/kg,16.77
Afghanistan,Water Pollution,Diclofenac,Seawater,Health,Water Pollution_Diclofenac_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Diclofenac,Unspecified,Health,Water Pollution_Diclofenac_Unspecified_Health,$/kg,16.77
Afghanistan,Water Pollution,Dicrotophos,Freshwaster,Health,Water Pollution_Dicrotophos_Freshwaster_Health,$/kg,93.98
Afghanistan,Water Pollution,Dicrotophos,Seawater,Health,Water Pollution_Dicrotophos_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Dicrotophos,Unspecified,Health,Water Pollution_Dicrotophos_Unspecified_Health,$/kg,93.98
Afghanistan,Water Pollution,Ethephon,Freshwaster,Health,Water Pollution_Ethephon_Freshwaster_Health,$/kg,7.00
Afghanistan,Water Pollution,Ethephon,Seawater,Health,Water Pollution_Ethephon_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Ethephon,Unspecified,Health,Water Pollution_Ethephon_Unspecified_Health,$/kg,7.00
Afghanistan,Water Pollution,fluoranthene,Freshwaster,Health,Water Pollution_fluoranthene_Freshwaster_Health,$/kg,12.63
Afghanistan,Water Pollution,fluoranthene,Seawater,Health,Water Pollution_fluoranthene_Seawater_Health,$/kg,1.53
Afghanistan,Water Pollution,fluoranthene,Unspecified,Health,Water Pollution_fluoranthene_Unspecified_Health,$/kg,12.63
Afghanistan,Water Pollution,fluorene,Freshwaster,Health,Water Pollution_fluorene_Freshwaster_Health,$/kg,10.57
Afghanistan,Water Pollution,fluorene,Seawater,Health,Water Pollution_fluorene_Seawater_Health,$/kg,0.13
Afghanistan,Water Pollution,fluorene,Unspecified,Health,Water Pollution_fluorene_Unspecified_Health,$/kg,10.57
Afghanistan,Water Pollution,Fluvastatin,Freshwaster,Health,Water Pollution_Fluvastatin_Freshwaster_Health,$/kg,4.40
Afghanistan,Water Pollution,Fluvastatin,Seawater,Health,Water Pollution_Fluvastatin_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Fluvastatin,Unspecified,Health,Water Pollution_Fluvastatin_Unspecified_Health,$/kg,4.40
Afghanistan,Water Pollution,FUROSEMIDE,Freshwaster,Health,Water Pollution_FUROSEMIDE_Freshwaster_Health,$/kg,1.54
Afghanistan,Water Pollution,FUROSEMIDE,Seawater,Health,Water Pollution_FUROSEMIDE_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,FUROSEMIDE,Unspecified,Health,Water Pollution_FUROSEMIDE_Unspecified_Health,$/kg,1.54
Afghanistan,Water Pollution,Gemfibrozil,Freshwaster,Health,Water Pollution_Gemfibrozil_Freshwaster_Health,$/kg,2.22
Afghanistan,Water Pollution,Gemfibrozil,Seawater,Health,Water Pollution_Gemfibrozil_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Gemfibrozil,Unspecified,Health,Water Pollution_Gemfibrozil_Unspecified_Health,$/kg,2.22
Afghanistan,Water Pollution,GLUFOSINATE-AMMONIUM,Freshwaster,Health,Water Pollution_GLUFOSINATE-AMMONIUM_Freshwaster_Health,$/kg,4.67
Afghanistan,Water Pollution,GLUFOSINATE-AMMONIUM,Seawater,Health,Water Pollution_GLUFOSINATE-AMMONIUM_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,GLUFOSINATE-AMMONIUM,Unspecified,Health,Water Pollution_GLUFOSINATE-AMMONIUM_Unspecified_Health,$/kg,4.67
Afghanistan,Water Pollution,Glyphosate,Freshwaster,Health,Water Pollution_Glyphosate_Freshwaster_Health,$/kg,0.30
Afghanistan,Water Pollution,Glyphosate,Seawater,Health,Water Pollution_Glyphosate_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Glyphosate,Unspecified,Health,Water Pollution_Glyphosate_Unspecified_Health,$/kg,0.30
Afghanistan,Water Pollution,INDOMETHACIN,Freshwaster,Health,Water Pollution_INDOMETHACIN_Freshwaster_Health,$/kg,477.46
Afghanistan,Water Pollution,INDOMETHACIN,Seawater,Health,Water Pollution_INDOMETHACIN_Seawater_Health,$/kg,0.05
Afghanistan,Water Pollution,INDOMETHACIN,Unspecified,Health,Water Pollution_INDOMETHACIN_Unspecified_Health,$/kg,477.46
Afghanistan,Water Pollution,Iopromide,Freshwaster,Health,Water Pollution_Iopromide_Freshwaster_Health,$/kg,0.27
Afghanistan,Water Pollution,Iopromide,Seawater,Health,Water Pollution_Iopromide_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Iopromide,Unspecified,Health,Water Pollution_Iopromide_Unspecified_Health,$/kg,0.27
Afghanistan,Water Pollution,Malathion,Freshwaster,Health,Water Pollution_Malathion_Freshwaster_Health,$/kg,0.32
Afghanistan,Water Pollution,Malathion,Seawater,Health,Water Pollution_Malathion_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Malathion,Unspecified,Health,Water Pollution_Malathion_Unspecified_Health,$/kg,0.32
Afghanistan,Water Pollution,Mancozeb,Freshwaster,Health,Water Pollution_Mancozeb_Freshwaster_Health,$/kg,2.98
Afghanistan,Water Pollution,Mancozeb,Seawater,Health,Water Pollution_Mancozeb_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Mancozeb,Unspecified,Health,Water Pollution_Mancozeb_Unspecified_Health,$/kg,2.98
Afghanistan,Water Pollution,Methyl Bromide,Freshwaster,Health,Water Pollution_Methyl Bromide_Freshwaster_Health,$/kg,1.82
Afghanistan,Water Pollution,Methyl Bromide,Seawater,Health,Water Pollution_Methyl Bromide_Seawater_Health,$/kg,0.21
Afghanistan,Water Pollution,Methyl Bromide,Unspecified,Health,Water Pollution_Methyl Bromide_Unspecified_Health,$/kg,1.82
Afghanistan,Water Pollution,Metolachlor,Freshwaster,Health,Water Pollution_Metolachlor_Freshwaster_Health,$/kg,1.09
Afghanistan,Water Pollution,Metolachlor,Seawater,Health,Water Pollution_Metolachlor_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Metolachlor,Unspecified,Health,Water Pollution_Metolachlor_Unspecified_Health,$/kg,1.09
Afghanistan,Water Pollution,Metoprolol,Freshwaster,Health,Water Pollution_Metoprolol_Freshwaster_Health,$/kg,0.56
Afghanistan,Water Pollution,Metoprolol,Seawater,Health,Water Pollution_Metoprolol_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Metoprolol,Unspecified,Health,Water Pollution_Metoprolol_Unspecified_Health,$/kg,0.56
Afghanistan,Water Pollution,METRONIDAZOLE,Freshwaster,Health,Water Pollution_METRONIDAZOLE_Freshwaster_Health,$/kg,1.94
Afghanistan,Water Pollution,METRONIDAZOLE,Seawater,Health,Water Pollution_METRONIDAZOLE_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,METRONIDAZOLE,Unspecified,Health,Water Pollution_METRONIDAZOLE_Unspecified_Health,$/kg,1.94
Afghanistan,Water Pollution,Naled,Freshwaster,Health,Water Pollution_Naled_Freshwaster_Health,$/kg,28.15
Afghanistan,Water Pollution,Naled,Seawater,Health,Water Pollution_Naled_Seawater_Health,$/kg,0.07
Afghanistan,Water Pollution,Naled,Unspecified,Health,Water Pollution_Naled_Unspecified_Health,$/kg,28.15
Afghanistan,Water Pollution,NALIDIXIC ACID,Freshwaster,Health,Water Pollution_NALIDIXIC ACID_Freshwaster_Health,$/kg,2.74
Afghanistan,Water Pollution,NALIDIXIC ACID,Seawater,Health,Water Pollution_NALIDIXIC ACID_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,NALIDIXIC ACID,Unspecified,Health,Water Pollution_NALIDIXIC ACID_Unspecified_Health,$/kg,2.74
Afghanistan,Water Pollution,naphthalene,Freshwaster,Health,Water Pollution_naphthalene_Freshwaster_Health,$/kg,4.36
Afghanistan,Water Pollution,naphthalene,Seawater,Health,Water Pollution_naphthalene_Seawater_Health,$/kg,0.01
Afghanistan,Water Pollution,naphthalene,Unspecified,Health,Water Pollution_naphthalene_Unspecified_Health,$/kg,4.36
Afghanistan,Water Pollution,OXOLINIC ACID,Freshwaster,Health,Water Pollution_OXOLINIC ACID_Freshwaster_Health,$/kg,3.29
Afghanistan,Water Pollution,OXOLINIC ACID,Seawater,Health,Water Pollution_OXOLINIC ACID_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,OXOLINIC ACID,Unspecified,Health,Water Pollution_OXOLINIC ACID_Unspecified_Health,$/kg,3.29
Afghanistan,Water Pollution,Paraquat,Freshwaster,Health,Water Pollution_Paraquat_Freshwaster_Health,$/kg,5.96
Afghanistan,Water Pollution,Paraquat,Seawater,Health,Water Pollution_Paraquat_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Paraquat,Unspecified,Health,Water Pollution_Paraquat_Unspecified_Health,$/kg,5.96
Afghanistan,Water Pollution,Parathion-methyl,Freshwaster,Health,Water Pollution_Parathion-methyl_Freshwaster_Health,$/kg,55.33
Afghanistan,Water Pollution,Parathion-methyl,Seawater,Health,Water Pollution_Parathion-methyl_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Parathion-methyl,Unspecified,Health,Water Pollution_Parathion-methyl_Unspecified_Health,$/kg,55.33
Afghanistan,Water Pollution,Pendimethalin,Freshwaster,Health,Water Pollution_Pendimethalin_Freshwaster_Health,$/kg,0.37
Afghanistan,Water Pollution,Pendimethalin,Seawater,Health,Water Pollution_Pendimethalin_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Pendimethalin,Unspecified,Health,Water Pollution_Pendimethalin_Unspecified_Health,$/kg,0.37
Afghanistan,Water Pollution,pentachlorophenol,Freshwaster,Health,Water Pollution_pentachlorophenol_Freshwaster_Health,$/kg,19.49
Afghanistan,Water Pollution,pentachlorophenol,Seawater,Health,Water Pollution_pentachlorophenol_Seawater_Health,$/kg,0.01
Afghanistan,Water Pollution,pentachlorophenol,Unspecified,Health,Water Pollution_pentachlorophenol_Unspecified_Health,$/kg,19.49
Afghanistan,Water Pollution,Phorate,Freshwaster,Health,Water Pollution_Phorate_Freshwaster_Health,$/kg,58.40
Afghanistan,Water Pollution,Phorate,Seawater,Health,Water Pollution_Phorate_Seawater_Health,$/kg,0.04
Afghanistan,Water Pollution,Phorate,Unspecified,Health,Water Pollution_Phorate_Unspecified_Health,$/kg,58.40
Afghanistan,Water Pollution,Propanil,Freshwaster,Health,Water Pollution_Propanil_Freshwaster_Health,$/kg,3.28
Afghanistan,Water Pollution,Propanil,Seawater,Health,Water Pollution_Propanil_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Propanil,Unspecified,Health,Water Pollution_Propanil_Unspecified_Health,$/kg,3.28
Afghanistan,Water Pollution,pyrene,Freshwaster,Health,Water Pollution_pyrene_Freshwaster_Health,$/kg,11.59
Afghanistan,Water Pollution,pyrene,Seawater,Health,Water Pollution_pyrene_Seawater_Health,$/kg,2.76
Afghanistan,Water Pollution,pyrene,Unspecified,Health,Water Pollution_pyrene_Unspecified_Health,$/kg,11.59
Afghanistan,Water Pollution,"Pyrene, 1-nitro-",Freshwaster,Health,"Water Pollution_Pyrene, 1-nitro-_Freshwaster_Health",$/kg,126.46
Afghanistan,Water Pollution,"Pyrene, 1-nitro-",Seawater,Health,"Water Pollution_Pyrene, 1-nitro-_Seawater_Health",$/kg,1.22
Afghanistan,Water Pollution,"Pyrene, 1-nitro-",Unspecified,Health,"Water Pollution_Pyrene, 1-nitro-_Unspecified_Health",$/kg,126.46
Afghanistan,Water Pollution,Sulfamethoxazole,Freshwaster,Health,Water Pollution_Sulfamethoxazole_Freshwaster_Health,$/kg,0.64
Afghanistan,Water Pollution,Sulfamethoxazole,Seawater,Health,Water Pollution_Sulfamethoxazole_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Sulfamethoxazole,Unspecified,Health,Water Pollution_Sulfamethoxazole_Unspecified_Health,$/kg,0.64
Afghanistan,Water Pollution,Terbutaline,Freshwaster,Health,Water Pollution_Terbutaline_Freshwaster_Health,$/kg,0.55
Afghanistan,Water Pollution,Terbutaline,Seawater,Health,Water Pollution_Terbutaline_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Terbutaline,Unspecified,Health,Water Pollution_Terbutaline_Unspecified_Health,$/kg,0.55
Afghanistan,Water Pollution,tetrachloroethylene,Freshwaster,Health,Water Pollution_tetrachloroethylene_Freshwaster_Health,$/kg,3.05
Afghanistan,Water Pollution,tetrachloroethylene,Seawater,Health,Water Pollution_tetrachloroethylene_Seawater_Health,$/kg,0.06
Afghanistan,Water Pollution,tetrachloroethylene,Unspecified,Health,Water Pollution_tetrachloroethylene_Unspecified_Health,$/kg,3.05
Afghanistan,Water Pollution,THIABENDAZOLE,Freshwaster,Health,Water Pollution_THIABENDAZOLE_Freshwaster_Health,$/kg,2.21
Afghanistan,Water Pollution,THIABENDAZOLE,Seawater,Health,Water Pollution_THIABENDAZOLE_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,THIABENDAZOLE,Unspecified,Health,Water Pollution_THIABENDAZOLE_Unspecified_Health,$/kg,2.21
Afghanistan,Water Pollution,TRI-2-CHLOROETHYL PHOSPHATE,Freshwaster,Health,Water Pollution_TRI-2-CHLOROETHYL PHOSPHATE_Freshwaster_Health,$/kg,6.15
Afghanistan,Water Pollution,TRI-2-CHLOROETHYL PHOSPHATE,Seawater,Health,Water Pollution_TRI-2-CHLOROETHYL PHOSPHATE_Seawater_Health,$/kg,0.01
Afghanistan,Water Pollution,TRI-2-CHLOROETHYL PHOSPHATE,Unspecified,Health,Water Pollution_TRI-2-CHLOROETHYL PHOSPHATE_Unspecified_Health,$/kg,6.15
Afghanistan,Water Pollution,trichloroethylene,Freshwaster,Health,Water Pollution_trichloroethylene_Freshwaster_Health,$/kg,0.28
Afghanistan,Water Pollution,trichloroethylene,Seawater,Health,Water Pollution_trichloroethylene_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,trichloroethylene,Unspecified,Health,Water Pollution_trichloroethylene_Unspecified_Health,$/kg,0.28
Afghanistan,Water Pollution,trifluralin,Freshwaster,Health,Water Pollution_trifluralin_Freshwaster_Health,$/kg,3.42
Afghanistan,Water Pollution,trifluralin,Seawater,Health,Water Pollution_trifluralin_Seawater_Health,$/kg,0.26
Afghanistan,Water Pollution,trifluralin,Unspecified,Health,Water Pollution_trifluralin_Unspecified_Health,$/kg,3.42
Afghanistan,Water Pollution,TRIMETHOPRIM,Freshwaster,Health,Water Pollution_TRIMETHOPRIM_Freshwaster_Health,$/kg,3.19
Afghanistan,Water Pollution,TRIMETHOPRIM,Seawater,Health,Water Pollution_TRIMETHOPRIM_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,TRIMETHOPRIM,Unspecified,Health,Water Pollution_TRIMETHOPRIM_Unspecified_Health,$/kg,3.19
Afghanistan,Water Pollution,"Tris (2,3-dibromopropyl) phosphate",Freshwaster,Health,"Water Pollution_Tris (2,3-dibromopropyl) phosphate_Freshwaster_Health",$/kg,89.53
Afghanistan,Water Pollution,"Tris (2,3-dibromopropyl) phosphate",Seawater,Health,"Water Pollution_Tris (2,3-dibromopropyl) phosphate_Seawater_Health",$/kg,0.65
Afghanistan,Water Pollution,"Tris (2,3-dibromopropyl) phosphate",Unspecified,Health,"Water Pollution_Tris (2,3-dibromopropyl) phosphate_Unspecified_Health",$/kg,89.53
Afghanistan,Water Pollution,trrichloromethane/chloroform (CHCl3),Freshwaster,Health,Water Pollution_trrichloromethane/chloroform (CHCl3)_Freshwaster_Health,$/kg,2.85
Afghanistan,Water Pollution,trrichloromethane/chloroform (CHCl3),Seawater,Health,Water Pollution_trrichloromethane/chloroform (CHCl3)_Seawater_Health,$/kg,0.03
Afghanistan,Water Pollution,trrichloromethane/chloroform (CHCl3),Unspecified,Health,Water Pollution_trrichloromethane/chloroform (CHCl3)_Unspecified_Health,$/kg,2.85
Afghanistan,Water Pollution,Warfarin,Freshwaster,Health,Water Pollution_Warfarin_Freshwaster_Health,$/kg,482.05
Afghanistan,Water Pollution,Warfarin,Seawater,Health,Water Pollution_Warfarin_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Warfarin,Unspecified,Health,Water Pollution_Warfarin_Unspecified_Health,$/kg,482.05
Afghanistan,Water Pollution,PAHs,Freshwaster,Health,Water Pollution_PAHs_Freshwaster_Health,$/kg,379.64
Afghanistan,Water Pollution,PAHs,Seawater,Health,Water Pollution_PAHs_Seawater_Health,$/kg,31.48
Afghanistan,Water Pollution,PAHs,Unspecified,Health,Water Pollution_PAHs_Unspecified_Health,$/kg,379.64
Afghanistan,Water Pollution,Pesticides,Freshwaster,Health,Water Pollution_Pesticides_Freshwaster_Health,$/kg,13.66
Afghanistan,Water Pollution,Pesticides,Seawater,Health,Water Pollution_Pesticides_Seawater_Health,$/kg,0.21
Afghanistan,Water Pollution,Pesticides,Unspecified,Health,Water Pollution_Pesticides_Unspecified_Health,$/kg,13.66
Afghanistan,Water Pollution,Antimony,Freshwaster,Health,Water Pollution_Antimony_Freshwaster_Health,$/kg,82.49
Afghanistan,Water Pollution,Antimony,Seawater,Health,Water Pollution_Antimony_Seawater_Health,$/kg,1.73
Afghanistan,Water Pollution,Antimony,Unspecified,Health,Water Pollution_Antimony_Unspecified_Health,$/kg,82.49
Afghanistan,Water Pollution,Arsenic,Freshwaster,Health,Water Pollution_Arsenic_Freshwaster_Health,$/kg,"2,018.01"
Afghanistan,Water Pollution,Arsenic,Seawater,Health,Water Pollution_Arsenic_Seawater_Health,$/kg,169.19
Afghanistan,Water Pollution,Arsenic,Unspecified,Health,Water Pollution_Arsenic_Unspecified_Health,$/kg,"2,018.01"
Afghanistan,Water Pollution,Barium,Freshwaster,Health,Water Pollution_Barium_Freshwaster_Health,$/kg,64.04
Afghanistan,Water Pollution,Barium,Seawater,Health,Water Pollution_Barium_Seawater_Health,$/kg,12.94
Afghanistan,Water Pollution,Barium,Unspecified,Health,Water Pollution_Barium_Unspecified_Health,$/kg,64.04
Afghanistan,Water Pollution,Beryllium,Freshwaster,Health,Water Pollution_Beryllium_Freshwaster_Health,$/kg,0.03
Afghanistan,Water Pollution,Beryllium,Seawater,Health,Water Pollution_Beryllium_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Beryllium,Unspecified,Health,Water Pollution_Beryllium_Unspecified_Health,$/kg,0.03
Afghanistan,Water Pollution,Cadmium,Freshwaster,Health,Water Pollution_Cadmium_Freshwaster_Health,$/kg,435.91
Afghanistan,Water Pollution,Cadmium,Seawater,Health,Water Pollution_Cadmium_Seawater_Health,$/kg,46.38
Afghanistan,Water Pollution,Cadmium,Unspecified,Health,Water Pollution_Cadmium_Unspecified_Health,$/kg,435.91
Afghanistan,Water Pollution,Chromium,Freshwaster,Health,Water Pollution_Chromium_Freshwaster_Health,$/kg,611.14
Afghanistan,Water Pollution,Chromium,Seawater,Health,Water Pollution_Chromium_Seawater_Health,$/kg,14.99
Afghanistan,Water Pollution,Chromium,Unspecified,Health,Water Pollution_Chromium_Unspecified_Health,$/kg,611.14
Afghanistan,Water Pollution,Cobalt,Freshwaster,Health,Water Pollution_Cobalt_Freshwaster_Health,$/kg,0.00
Afghanistan,Water Pollution,Cobalt,Seawater,Health,Water Pollution_Cobalt_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Cobalt,Unspecified,Health,Water Pollution_Cobalt_Unspecified_Health,$/kg,0.00
Afghanistan,Water Pollution,Copper,Freshwaster,Health,Water Pollution_Copper_Freshwaster_Health,$/kg,0.00
Afghanistan,Water Pollution,Copper,Seawater,Health,Water Pollution_Copper_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Copper,Unspecified,Health,Water Pollution_Copper_Unspecified_Health,$/kg,0.00
Afghanistan,Water Pollution,Lead,Freshwaster,Health,Water Pollution_Lead_Freshwaster_Health,$/kg,0.50
Afghanistan,Water Pollution,Lead,Seawater,Health,Water Pollution_Lead_Seawater_Health,$/kg,0.03
Afghanistan,Water Pollution,Lead,Unspecified,Health,Water Pollution_Lead_Unspecified_Health,$/kg,0.50
Afghanistan,Water Pollution,Mercury,Freshwaster,Health,Water Pollution_Mercury_Freshwaster_Health,$/kg,96.17
Afghanistan,Water Pollution,Mercury,Seawater,Health,Water Pollution_Mercury_Seawater_Health,$/kg,81.26
Afghanistan,Water Pollution,Mercury,Unspecified,Health,Water Pollution_Mercury_Unspecified_Health,$/kg,96.17
Afghanistan,Water Pollution,Molybdenum,Freshwaster,Health,Water Pollution_Molybdenum_Freshwaster_Health,$/kg,15.78
Afghanistan,Water Pollution,Molybdenum,Seawater,Health,Water Pollution_Molybdenum_Seawater_Health,$/kg,0.08
Afghanistan,Water Pollution,Molybdenum,Unspecified,Health,Water Pollution_Molybdenum_Unspecified_Health,$/kg,15.78
Afghanistan,Water Pollution,Nickel,Freshwaster,Health,Water Pollution_Nickel_Freshwaster_Health,$/kg,148.01
Afghanistan,Water Pollution,Nickel,Seawater,Health,Water Pollution_Nickel_Seawater_Health,$/kg,4.80
Afghanistan,Water Pollution,Nickel,Unspecified,Health,Water Pollution_Nickel_Unspecified_Health,$/kg,148.01
