Territory,Topic,Category,Location,Impact,Reference,Units,Value
Afghanistan,Air Pollution,NH3,Rural,Primary Health,Air Pollution_NH3_Rural_Primary Health,$/tonne,"5,815.95"
Afghanistan,Air Pollution,NH3,Transport,Primary Health,Air Pollution_NH3_Transport_Primary Health,$/tonne,"9,403.91"
Afghanistan,Air Pollution,NH3,N/A for NH3,Visibility,Air Pollution_NH3_N/A for NH3_Visibility,$/tonne,6.06
Afghanistan,Air Pollution,PM10,Urban,Primary Health,Air Pollution_PM10_Urban_Primary Health,$/tonne,260.51
Afghanistan,Air Pollution,PM10,Peri-Urban,Primary Health,Air Pollution_PM10_Peri-Urban_Primary Health,$/tonne,238.92
Afghanistan,Air Pollution,PM10,Rural,Primary Health,Air Pollution_PM10_Rural_Primary Health,$/tonne,120.84
Afghanistan,Air Pollution,PM10,Transport,Primary Health,Air Pollution_PM10_Transport_Primary Health,$/tonne,198.96
Afghanistan,Air Pollution,PM10,N/A for PM10,Visibility,Air Pollution_PM10_N/A for PM10_Visibility,$/tonne,16.11
Afghanistan,Air Pollution,NOx,Urban,Primary Health,Air Pollution_NOx_Urban_Primary Health,$/tonne,"4,138.25"
Afghanistan,Air Pollution,NOx,Peri-Urban,Primary Health,Air Pollution_NOx_Peri-Urban_Primary Health,$/tonne,"3,992.62"
Afghanistan,Air Pollution,NOx,Rural,Primary Health,Air Pollution_NOx_Rural_Primary Health,$/tonne,"2,211.82"
Afghanistan,Air Pollution,NOx,Transport,Primary Health,Air Pollution_NOx_Transport_Primary Health,$/tonne,"3,141.74"
Afghanistan,Air Pollution,NOx,N/A for NOx,Agriculture,Air Pollution_NOx_N/A for NOx_Agriculture,$/tonne,1.26
Afghanistan,Air Pollution,NOx,N/A for NOx,Visibility,Air Pollution_NOx_N/A for NOx_Visibility,$/tonne,2.04
Afghanistan,Air Pollution,VOC,N/A for VOC,Secondary Health,Air Pollution_VOC_N/A for VOC_Secondary Health,$/tonne,150.96
Afghanistan,Air Pollution,VOC,N/A for VOC,Visibility,Air Pollution_VOC_N/A for VOC_Visibility,$/tonne,1.98
Afghanistan,Air Pollution,VOC,N/A for VOC,Agriculture,Air Pollution_VOC_N/A for VOC_Agriculture,$/tonne,0.65
Afghanistan,Land Use,Wheat - conventional,N/A for LULC,Lost Ecosystem Services,Land Use_Wheat - conventional_N/A for LULC_Lost Ecosystem Services,$/ha,216.64
Afghanistan,Land Use,"Vegetables, fruit, nuts - conventional",N/A for LULC,Lost Ecosystem Services,"Land Use_Vegetables, fruit, nuts - conventional_N/A for LULC_Lost Ecosystem Services",$/ha,248.52
Afghanistan,Land Use,"Cereals, grains - conventional",N/A for LULC,Lost Ecosystem Services,"Land Use_Cereals, grains - conventional_N/A for LULC_Lost Ecosystem Services",$/ha,216.64
Afghanistan,Land Use,Oilseeds - conventional,N/A for LULC,Lost Ecosystem Services,Land Use_Oilseeds - conventional_N/A for LULC_Lost Ecosystem Services,$/ha,216.64
Afghanistan,Land Use,"Sugarcane, sugarbeet - conventional",N/A for LULC,Lost Ecosystem Services,"Land Use_Sugarcane, sugarbeet - conventional_N/A for LULC_Lost Ecosystem Services",$/ha,216.64
Afghanistan,Land Use,Plant-based fibers - conventional,N/A for LULC,Lost Ecosystem Services,Land Use_Plant-based fibers - conventional_N/A for LULC_Lost Ecosystem Services,$/ha,216.64
Afghanistan,Land Use,Other crops - conventional,N/A for LULC,Lost Ecosystem Services,Land Use_Other crops - conventional_N/A for LULC_Lost Ecosystem Services,$/ha,216.64
Afghanistan,Land Use,Other crops - organic,N/A for LULC,Lost Ecosystem Services,Land Use_Other crops - organic_N/A for LULC_Lost Ecosystem Services,$/ha,200.56
Afghanistan,Land Use,Other crops - sustainable,N/A for LULC,Lost Ecosystem Services,Land Use_Other crops - sustainable_N/A for LULC_Lost Ecosystem Services,$/ha,187.30
Afghanistan,Land Use,"Bovine, sheep, goats, horses - conventional",N/A for LULC,Lost Ecosystem Services,"Land Use_Bovine, sheep, goats, horses - conventional_N/A for LULC_Lost Ecosystem Services",$/ha,244.66
Afghanistan,Land Use,"Bovine, sheep, goats, horses - organic",N/A for LULC,Lost Ecosystem Services,"Land Use_Bovine, sheep, goats, horses - organic_N/A for LULC_Lost Ecosystem Services",$/ha,235.64
Afghanistan,Land Use,"Bovine, sheep, goats, horses - sustainable",N/A for LULC,Lost Ecosystem Services,"Land Use_Bovine, sheep, goats, horses - sustainable_N/A for LULC_Lost Ecosystem Services",$/ha,232.96
Afghanistan,Land Use,Cashmere - conventional,N/A for LULC,Lost Ecosystem Services,Land Use_Cashmere - conventional_N/A for LULC_Lost Ecosystem Services,$/ha,253.69
Afghanistan,Land Use,Cashmere - organic,N/A for LULC,Lost Ecosystem Services,Land Use_Cashmere - organic_N/A for LULC_Lost Ecosystem Services,$/ha,235.64
Afghanistan,Land Use,Cashmere - sustainable,N/A for LULC,Lost Ecosystem Services,Land Use_Cashmere - sustainable_N/A for LULC_Lost Ecosystem Services,$/ha,232.96
Afghanistan,Land Use,Forestry,N/A for LULC,Lost Ecosystem Services,Land Use_Forestry_N/A for LULC_Lost Ecosystem Services,$/ha,24.84
Afghanistan,Land Use,Paddy rice,N/A for LULC,Lost Ecosystem Services,Land Use_Paddy rice_N/A for LULC_Lost Ecosystem Services,$/ha,189.25
Afghanistan,Land Use,Paved,N/A for LULC,Lost Ecosystem Services,Land Use_Paved_N/A for LULC_Lost Ecosystem Services,$/ha,312.21
Afghanistan,Water Pollution,Phosphorus,N/A for this Category,Eutrophication,Water Pollution_Phosphorus_N/A for this Category_Eutrophication,$/kg,96.62
Afghanistan,Water Pollution,Nitrogen,N/A for this Category,Eutrophication,Water Pollution_Nitrogen_N/A for this Category_Eutrophication,$/kg,0.00
Afghanistan,Water Pollution,Ag(I),Freshwaster,Health,Water Pollution_Ag(I)_Freshwaster_Health,$/kg,41.61
Afghanistan,Water Pollution,Ag(I),Seawater,Health,Water Pollution_Ag(I)_Seawater_Health,$/kg,0.84
Afghanistan,Water Pollution,Ag(I),Unspecified,Health,Water Pollution_Ag(I)_Unspecified_Health,$/kg,41.61
Afghanistan,Water Pollution,As(III),Freshwaster,Health,Water Pollution_As(III)_Freshwaster_Health,$/kg,"2,018.01"
Afghanistan,Water Pollution,As(III),Seawater,Health,Water Pollution_As(III)_Seawater_Health,$/kg,169.19
Afghanistan,Water Pollution,As(III),Unspecified,Health,Water Pollution_As(III)_Unspecified_Health,$/kg,"2,018.01"
Afghanistan,Water Pollution,As(V),Freshwaster,Health,Water Pollution_As(V)_Freshwaster_Health,$/kg,"2,018.01"
Afghanistan,Water Pollution,As(V),Seawater,Health,Water Pollution_As(V)_Seawater_Health,$/kg,169.19
Afghanistan,Water Pollution,As(V),Unspecified,Health,Water Pollution_As(V)_Unspecified_Health,$/kg,"2,018.01"
Afghanistan,Water Pollution,Ba(II),Freshwaster,Health,Water Pollution_Ba(II)_Freshwaster_Health,$/kg,64.04
Afghanistan,Water Pollution,Ba(II),Seawater,Health,Water Pollution_Ba(II)_Seawater_Health,$/kg,12.94
